id,class,reason
CVE-2021-23355,command-injection,brak fixedVersion
CVE-2021-23374,command-injection,brak fixedVersion
CVE-2018-16460,command-injection,brak fixCommit
CVE-2021-23375,command-injection,brak fixedVersion
CVE-2021-24033,command-injection,brak fixCommit
CVE-2021-23380,command-injection,brak fixedVersion
CVE-2019-10788,command-injection,brak fixedVersion
CVE-2020-28432,command-injection,brak fixedVersion
CVE-2020-7784,command-injection,brak fixedVersion
CVE-2020-7628,command-injection,brak fixedVersion
CVE-2019-10783,command-injection,brak fixedVersion
CVE-2020-28431,command-injection,brak fixedVersion
CVE-2021-23399,command-injection,brak fixedVersion
CVE-2020-28447,command-injection,brak fixedVersion
CVE-2019-15597,command-injection,brak fixedVersion
CVE-2017-16160,path-traversal,brak fixedVersion
CVE-2017-16162,path-traversal,brak fixedVersion
api-proxy_0.0.2,path-traversal,brak fixedVersion
aso-server_0.4.3,path-traversal,brak fixedVersion
asset-cache_0.0.6,path-traversal,brak fixedVersion
atropa-ide_0.2.2-2,path-traversal,brak fixedVersion
CVE-2017-0930,path-traversal,brak fixedVersion
basic-static_2.0.2,path-traversal,brak fixedVersion
CVE-2016-10561,path-traversal,brak fixedVersion
caihong_1.0.0,path-traversal,brak fixedVersion
canvas-designer_1.2.1,path-traversal,brak fixedVersion
caolilinode1_1.0.0,path-traversal,brak fixedVersion
CVE-2017-16159,path-traversal,brak fixedVersion
CVE-2017-16122,path-traversal,brak fixedVersion
cuiaiguang_1.0.0,path-traversal,brak fixedVersion
cxy_1.1.0,path-traversal,brak fixedVersion
CVE-2017-16093,path-traversal,brak fixedVersion
CVE-2017-16191,path-traversal,brak fixedVersion
CVE-2017-16121,path-traversal,brak fixedVersion
CVE-2017-16190,path-traversal,brak fixedVersion
der-server_0.0.9,path-traversal,brak fixedVersion
dilu_0.1.3,path-traversal,brak fixedVersion
CVE-2017-16163,path-traversal,brak fixedVersion
easy-node-server_1.2.1,path-traversal,brak fixedVersion
ex-http-frame_1.0.2,path-traversal,brak fixedVersion
express-blinker_0.0.6,path-traversal,brak fixedVersion
CVE-2017-16130,path-traversal,brak fixedVersion
fakelearnnodejs_0.0.1,path-traversal,brak fixedVersion
CVE-2017-16155,path-traversal,brak fixedVersion
CVE-2020-7687,path-traversal,brak fixedVersion
CVE-2017-16217,path-traversal,brak fixedVersion
file-static-server_1.0.2,path-traversal,brak fixedVersion
CVE-2017-16090,path-traversal,brak fixedVersion
gamebutler_1.0.4,path-traversal,brak fixedVersion
CVE-2017-16108,path-traversal,brak fixedVersion
CVE-2017-16153,path-traversal,brak fixedVersion
getstats_1.0.6,path-traversal,brak fixedVersion
gfm-srv_1.1.2,path-traversal,brak fixedVersion
CVE-2017-16133,path-traversal,brak fixedVersion
gyfserver_1.0.0,path-traversal,brak fixedVersion
hdsdhhksjd_1.0.0,path-traversal,brak fixedVersion
CVE-2017-16039,path-traversal,brak fixedVersion
CVE-2019-5447,path-traversal,brak fixedVersion
CVE-2018-16479,path-traversal,brak fixCommit
httpea_3.0.4,path-traversal,brak fixedVersion
CVE-2017-16142,path-traversal,brak fixedVersion
CVE-2017-16178,path-traversal,brak fixedVersion
isv-http_0.0.9,path-traversal,brak fixedVersion
lander_1.0.0,path-traversal,brak fixedVersion
CVE-2017-16211,path-traversal,brak fixedVersion
lihuini_1.0.0,path-traversal,brak fixedVersion
CVE-2017-16170,path-traversal,brak fixedVersion
CVE-2017-16120,path-traversal,brak fixedVersion
ljjnodeserve_1.0.0,path-traversal,brak fixedVersion
CVE-2017-16169,path-traversal,brak fixedVersion
ltt.js_1.0.0,path-traversal,brak fixedVersion
CVE-2017-16212,path-traversal,brak fixedVersion
lzl123_1.1.0,path-traversal,brak fixedVersion
CVE-2018-16482,path-traversal,brak fixCommit
CVE-2017-16193,path-traversal,brak fixedVersion
CVE-2017-16213,path-traversal,brak fixedVersion
my-sn_1.0.1,path-traversal,brak fixedVersion
CVE-2017-16156,path-traversal,brak fixedVersion
myserve111_1.1.2,path-traversal,brak fixedVersion
nitro-server_1.3.3,path-traversal,brak fixedVersion
node-cxc_1.0.0,path-traversal,brak fixedVersion
node-http-server_8.1.2,path-traversal,brak fixedVersion
node-static-webserver_0.0.1,path-traversal,brak fixedVersion
node-staticserver_1.0.3,path-traversal,brak fixedVersion
CVE-2017-16223,path-traversal,brak fixedVersion
nodejsccc_1.0.0,path-traversal,brak fixedVersion
nopach_0.1.1,path-traversal,brak fixedVersion
CVE-2017-16187,path-traversal,brak fixedVersion
paopao613_1.0.0,path-traversal,brak fixedVersion
CVE-2017-16214,path-traversal,brak fixedVersion
pico-static-server_2.3.4,path-traversal,brak fixCommit
proxey_0.4.2,path-traversal,brak fixedVersion
ptest_1.0.0,path-traversal,brak fixedVersion
CVE-2017-16195,path-traversal,brak fixedVersion
CVE-2017-16198,path-traversal,brak fixedVersion
rjpserver_1.0.0,path-traversal,brak fixedVersion
CVE-2020-7686,path-traversal,brak fixedVersion
CVE-2020-7684,path-traversal,brak fixedVersion
CVE-2020-7684,path-traversal,brak fixedVersion
CVE-2020-7683,path-traversal,brak fixedVersion
CVE-2017-16125,path-traversal,brak fixedVersion
run-this-place_1.0.2,path-traversal,brak fixedVersion
sabu_1.0.6,path-traversal,brak fixedVersion
CVE-2017-16148,path-traversal,brak fixedVersion
server12311_1.2.0,path-traversal,brak fixedVersion
CVE-2017-16180,path-traversal,brak fixedVersion
serverfff_1.1.1,path-traversal,brak fixedVersion
servergmf_1.1.0,path-traversal,brak fixedVersion
CVE-2017-16102,path-traversal,brak fixedVersion
CVE-2017-16095,path-traversal,brak fixedVersion
serverlyj333_1.1.0,path-traversal,brak fixedVersion
CVE-2017-16089,path-traversal,brak fixedVersion
servershuai_1.2.0,path-traversal,brak fixedVersion
serversyysyy_1.1.0,path-traversal,brak fixedVersion
CVE-2017-16101,path-traversal,brak fixedVersion
CVE-2017-16105,path-traversal,brak fixedVersion
serverxh_1.0.0,path-traversal,brak fixedVersion
CVE-2017-16182,path-traversal,brak fixedVersion
CVE-2017-16096,path-traversal,brak fixedVersion
serveryyl_1.1.0,path-traversal,brak fixedVersion
CVE-2017-16103,path-traversal,brak fixedVersion
serverzyqzyq_1.1.0,path-traversal,brak fixedVersion
CVE-2017-16135,path-traversal,brak fixedVersion
servewuqianqianqian_1.0.0,path-traversal,brak fixedVersion
CVE-2020-8214,path-traversal,brak fixCommit
severzlt_1.0.0,path-traversal,brak fixedVersion
CVE-2017-16215,path-traversal,brak fixedVersion
shenliru3_1.3.0,path-traversal,brak fixedVersion
CVE-2017-16161,path-traversal,brak fixedVersion
CVE-2017-16147,path-traversal,brak fixedVersion
simple-mock-server_0.2.1,path-traversal,brak fixedVersion
songcaihong_1.0.0,path-traversal,brak fixedVersion
srverqq_1.0.0,path-traversal,brak fixedVersion
starfruit_0.2.2,path-traversal,brak fixedVersion
CVE-2017-16152,path-traversal,brak fixedVersion
static-server-gx_1.2.1,path-traversal,brak fixedVersion
CVE-2019-5480,path-traversal,brak fixedVersion
CVE-2019-15596,path-traversal,brak fixedVersion
CVE-2018-3734,path-traversal,brak fixCommit
CVE-2017-16199,path-traversal,brak fixedVersion
CVE-2017-16085,path-traversal,brak fixCommit
tinyserver_0.1.1,path-traversal,brak fixedVersion
CVE-2017-16185,path-traversal,brak fixedVersion
ussasasa_1.0.0,path-traversal,brak fixedVersion
CVE-2017-16150,path-traversal,brak fixedVersion
wangshuai_1.0.0,path-traversal,brak fixedVersion
web-node-server_0.1.0,path-traversal,brak fixCommit
webrepl_0.4.7,path-traversal,brak fixedVersion
CVE-2017-16123,path-traversal,brak fixedVersion
wenluhong111_1.0.0,path-traversal,brak fixedVersion
wenluhong11_1.0.0,path-traversal,brak fixedVersion
wenluhong1_1.0.0,path-traversal,brak fixedVersion
CVE-2017-16168,path-traversal,brak fixedVersion
willvdb_test_server_0.0.0,path-traversal,brak fixedVersion
CVE-2017-16220,path-traversal,brak fixedVersion
CVE-2017-16181,path-traversal,brak fixedVersion
wrlc_0.2.5,path-traversal,brak fixedVersion
wuzhuang_1.0.0,path-traversal,brak fixedVersion
wuzhuangserver_1.8.0,path-traversal,brak fixedVersion
xbhxbh_1.1.0,path-traversal,brak fixedVersion
xingbaohai_1.0.0,path-traversal,brak fixedVersion
xxf11_1.0.1,path-traversal,brak fixedVersion
yjmyjmyjm_1.0.0,path-traversal,brak fixedVersion
yxxserver_1.0.0,path-traversal,brak fixedVersion
CVE-2017-16167,path-traversal,brak fixedVersion
yypsulie11_1.0.0,path-traversal,brak fixedVersion
CVE-2017-16221,path-traversal,brak fixedVersion
zhanglina_1.0.0,path-traversal,brak fixedVersion
zhangranbigman_0.0.1,path-traversal,brak fixedVersion
zhaolei1111_1.1.0,path-traversal,brak fixedVersion
CVE-2017-16201,path-traversal,brak fixedVersion
zs123_1.0.0,path-traversal,brak fixedVersion
CVE-2017-16149,path-traversal,brak fixedVersion
zxyserver_1.0.0,path-traversal,brak fixedVersion
CVE-2021-25943,prototype-pollution,brak fixedVersion
CVE-2020-7713,prototype-pollution,brak fixedVersion
CVE-2020-7771,prototype-pollution,brak fixCommit
CVE-2020-28472,prototype-pollution,wersja naprawiona nie wyzsza od podatnej
CVE-2020-7736,prototype-pollution,brak fixCommit
brikcss-merge_1.3.0,prototype-pollution,brak fixedVersion
CVE-2020-7637,prototype-pollution,brak fixCommit
CVE-2019-10794,prototype-pollution,brak fixedVersion
CVE-2020-7714,prototype-pollution,brak fixedVersion
CVE-2020-28268,prototype-pollution,brak sink
convict_6.0.0,prototype-pollution,brak fixCommit
CVE-2021-23442,prototype-pollution,brak fixedVersion
CVE-2020-28503,prototype-pollution,brak fixCommit
CVE-2018-3749,prototype-pollution,brak fixCommit
CVE-2020-28449,prototype-pollution,brak fixedVersion
CVE-2020-28450,prototype-pollution,brak fixedVersion
CVE-2021-25944,prototype-pollution,brak fixedVersion
CVE-2020-7715,prototype-pollution,brak fixedVersion
CVE-2020-28276,prototype-pollution,brak fixedVersion
CVE-2021-23417,prototype-pollution,brak fixedVersion
CVE-2020-7716,prototype-pollution,brak fixedVersion
CVE-2018-16486,prototype-pollution,brak fixedVersion
CVE-2020-7717,prototype-pollution,brak fixedVersion
CVE-2020-28277,prototype-pollution,brak fixCommit
CVE-2020-7639,prototype-pollution,brak fixedVersion
CVE-2021-25948,prototype-pollution,brak fixedVersion
CVE-2018-16492,prototype-pollution,wersja naprawiona nie wyzsza od podatnej
CVE-2021-3815,prototype-pollution,brak fixedVersion
CVE-2020-28269,prototype-pollution,brak fixedVersion
CVE-2020-7765,prototype-pollution,brak fixCommit
flat-wrap_1.0.2,prototype-pollution,brak fixedVersion
CVE-2021-25927,prototype-pollution,wersja naprawiona nie wyzsza od podatnej
CVE-2020-28279,prototype-pollution,brak fixCommit
fluentui-styles_0.47.15,prototype-pollution,brak fixCommit
CVE-2020-7718,prototype-pollution,brak fixedVersion
CVE-2020-7727,prototype-pollution,brak fixedVersion
CVE-2020-28282,prototype-pollution,brak fixCommit
getsetdeep_4.15.0,prototype-pollution,brak fixedVersion
CVE-2020-7641,prototype-pollution,brak fixedVersion
 CVE-2021-23397,prototype-pollution,brak fixedVersion
CVE-2020-7617,prototype-pollution,brak fixedVersion
CVE-2020-7788,prototype-pollution,brak fixedVersion
CVE-2021-23328,prototype-pollution,brak fixedVersion
CVE-2020-28462,prototype-pollution,brak fixedVersion
CVE-2019-11358,prototype-pollution,numer wersji nie jest dokladny
CVE-2021-23574,prototype-pollution,brak fixedVersion
CVE-2021-25945,prototype-pollution,brak fixedVersion
CVE-2021-23820,prototype-pollution,brak fixedVersion
CVE-2021-23820,prototype-pollution,brak fixedVersion
CVE-2020-8268,prototype-pollution,brak fixCommit
CVE-2018-16489,prototype-pollution,brak fixedVersion
keyd_1.3.4,prototype-pollution,brak fixCommit
CVE-2020-7719,prototype-pollution,brak fixCommit
CVE-2020-8203,prototype-pollution,brak fixCommit
CVE-2018-3721 ,prototype-pollution,wersja naprawiona nie wyzsza od podatnej
lutils-merge_0.2.6,prototype-pollution,brak fixedVersion
CVE-2021-23396,prototype-pollution,brak fixedVersion
lyngs-digger_1.0.7,prototype-pollution,brak fixedVersion
lyngs-merge_1.0.9,prototype-pollution,brak fixedVersion
CVE-2020-7701,prototype-pollution,brak fixCommit
CVE-2021-23421,prototype-pollution,brak fixedVersion
CVE-2021-23700,prototype-pollution,brak fixedVersion
CVE-2018-3753,prototype-pollution,brak fixedVersion
CVE-2018-3751,prototype-pollution,brak fixedVersion
CVE-2020-28499,prototype-pollution,brak fixedVersion
mergify_1.0.2,prototype-pollution,brak fixedVersion
CVE-2020-7598,prototype-pollution,brak fixCommit
CVE-2021-23432,prototype-pollution,brak fixedVersion
CVE-2020-7792,prototype-pollution,brak fixCommit
CVE-2020-28448,prototype-pollution,brak fixCommit
CVE-2021-25946,prototype-pollution,brak fixedVersion
CVE-2021-23395,prototype-pollution,brak fixedVersion
CVE-2021-23329,prototype-pollution,brak fixCommit
CVE-2020-7703,prototype-pollution,brak fixedVersion
node-dig_1.0.1,prototype-pollution,brak fixedVersion
CVE-2018-16491,prototype-pollution,brak fixCommit
node-ini_1.0.0,prototype-pollution,brak fixedVersion
CVE-2020-7721,prototype-pollution,brak fixedVersion
objtools_3.0.0,prototype-pollution,brak fixedVersion
objutil_2.17.3,prototype-pollution,brak fixedVersion
CVE-2020-7643,prototype-pollution,brak fixedVersion
CVE-2020-7700,prototype-pollution,brak fixedVersion
CVE-2020-28280,prototype-pollution,brak fixedVersion
CVE-2020-7723,prototype-pollution,brak fixedVersion
CVE-2021-23426,prototype-pollution,brak fixedVersion
CVE-2019-10798,prototype-pollution,brak fixedVersion
CVE-2021-23402,prototype-pollution,brak fixedVersion
rfc6902_4.0.2,prototype-pollution,brak fixCommit
CVE-2021-25928,prototype-pollution,brak fixedVersion
CVE-2020-7726,prototype-pollution,brak fixedVersion
CVE-2020-7737,prototype-pollution,brak fixedVersion
sahmat_1.0.0,prototype-pollution,brak fixedVersion
CVE-2021-23373,prototype-pollution,brak fixedVersion
CVE-2021-25949,prototype-pollution,brak sink
CVE-2020-28281,prototype-pollution,numer wersji nie jest dokladny
CVE-2020-7742,prototype-pollution,brak fixCommit
smart-extend_1.7.3,prototype-pollution,brak fixedVersion
style-dictionary_2.10.2,prototype-pollution,brak fixCommit
CVE-2020-7702,prototype-pollution,brak fixedVersion
CVE-2021-32736,prototype-pollution,brak fixCommit
CVE-2020-7724,prototype-pollution,brak fixedVersion
CVE-2021-4278,prototype-pollution,brak sink
CVE-2020-8158,prototype-pollution,brak fixCommit
uifabric-utilities_7.20.2,prototype-pollution,brak fixCommit
upmerge_0.1.7,prototype-pollution,brak fixCommit
CVE-2020-8147,prototype-pollution,brak fixedVersion
CVE-2019-10806,prototype-pollution,brak fixCommit
CVE-2020-7725,prototype-pollution,brak fixedVersion
CVE-2021-23452,prototype-pollution,brak fixedVersion
CVE-2020-7774,prototype-pollution,brak fixCommit
CVE-2020-7608,prototype-pollution,brak fixCommit
CVE-2020-15366,redos,brak fixCommit
amqp-match_0.0.0,redos,brak fixedVersion
CVE-2021-23424,redos,brak fixedVersion
CVE-2021-3807,redos,brak sink
cejs_2.0.20170212,redos,brak sink
CVE-2017-16098,redos,brak fixCommit
checkit_0.7.0,redos,brak fixedVersion
content-type-parser_1.0.1,redos,brak fixedVersion
conventional-commits-parser_3.2.0,redos,brak sink
d3-color_2.0.0,redos,brak fixedVersion
CVE-2020-7767,redos,brak fixedVersion
github-url-to-object_4.0.2,redos,brak fixCommit
html-dom-parser_0.1.2,redos,brak sink
CVE-2021-23346,redos,brak fixedVersion
htmlparser_1.7.7,redos,brak fixedVersion
is-url_1.2.2,redos,brak fixCommit
CVE-2022-21670,redos,brak sink
markdown-to-jsx_5.4.2,redos,brak fixedVersion
markdown_0.3.0,redos,brak fixedVersion
CVE-2015-8315,redos,brak fixCommit
CVE-2017-18214,redos,brak fixCommit
CVE-2017-16099,redos,brak fixCommit
CVE-2017-16113,redos,brak fixedVersion
CVE-2021-23343,redos,brak fixCommit
platform_1.3.4,redos,brak fixedVersion
CVE-2021-23382,redos,wersja naprawiona nie wyzsza od podatnej
CVE-2021-23354,redos,brak fixCommit
CVE-2021-3868,redos,brak fixCommit
CVE-2020-27511,redos,brak fixedVersion
CVE-2019-12041,redos,brak sink
remove-markdown_0.3.0,redos,brak fixedVersion
revalidator_0.3.1,redos,brak fixedVersion
rgb2hex_0.1.0,redos,brak fixCommit
sanitize_2.0.0,redos,numer wersji nie jest dokladny
simple-markdown_0.7.2,redos,wersja naprawiona nie wyzsza od podatnej
CVE-2018-3737,redos,brak fixCommit
CVE-2017-16116,redos,brak fixedVersion
CVE-2017-16115,redos,brak fixedVersion
CVE-2017-15010,redos,brak fixCommit
CVE-2020-7753,redos,brak fixCommit
underscore.string_3.3.4,redos,brak fixCommit
CVE-2017-16021,redos,brak fixCommit
CVE-2020-7661,redos,brak fixedVersion
CVE-2020-7661,redos,brak fixedVersion
validator_13.5.2,redos,brak sink
vant_2.12.11,redos,brak fixCommit
