file,cwe,expected_finding,sink_line,flow_level,filename,codeql_detected,sonar_detected,codeql_any_finding,sonar_any_finding
control_pool/cwe_78_safe_execsync_repo_clone.js,CWE-078,False,41,2,cwe_78_safe_execsync_repo_clone.js,False,True,False,True
control_pool/cwe_78_safe_spawn_shell_true_converter.ts,CWE-078,False,43,3,cwe_78_safe_spawn_shell_true_converter.ts,False,True,False,True
control_pool/cwe_78_safe_second_order_backup_worker.js,CWE-078,False,62,4,cwe_78_safe_second_order_backup_worker.js,False,False,True,True
control_pool/cwe_78_safe_broken_sanitizer_media_queue.js,CWE-078,False,54,5,cwe_78_safe_broken_sanitizer_media_queue.js,False,False,False,True
control_pool/cwe_89_safe_string_concat_login.js,CWE-089,False,24,1,cwe_89_safe_string_concat_login.js,False,False,True,True
control_pool/cwe_89_safe_partial_parameterization_search.js,CWE-089,False,44,2,cwe_89_safe_partial_parameterization_search.js,False,False,False,True
control_pool/cwe_89_safe_knex_whereraw_analytics.ts,CWE-089,False,44,3,cwe_89_safe_knex_whereraw_analytics.ts,False,False,False,True
control_pool/cwe_89_safe_second_order_saved_filters.js,CWE-089,False,80,4,cwe_89_safe_second_order_saved_filters.js,False,False,True,True
control_pool/cwe_89_safe_sequelize_literal_broken_escape.js,CWE-089,False,35,5,cwe_89_safe_sequelize_literal_broken_escape.js,False,False,False,True
control_pool/cwe_79_safe_reflected_search_express.js,CWE-079,False,34,1,cwe_79_safe_reflected_search_express.js,False,True,False,True
control_pool/cwe_79_safe_ejs_unescaped_profile.js,CWE-079,False,31,2,cwe_79_safe_ejs_unescaped_profile.js,False,True,False,True
control_pool/cwe_79_safe_stored_comments_react_ssr.tsx,CWE-079,False,45,3,cwe_79_safe_stored_comments_react_ssr.tsx,False,False,True,True
control_pool/cwe_79_safe_broken_sanitizer_markdown.js,CWE-079,False,27,4,cwe_79_safe_broken_sanitizer_markdown.js,False,False,False,True
control_pool/cwe_79_safe_state_hydration_script_context.js,CWE-079,False,49,5,cwe_79_safe_state_hydration_script_context.js,False,False,False,True
control_pool/cwe_22_safe_readfile_concat_docs.js,CWE-022,False,38,1,cwe_22_safe_readfile_concat_docs.js,False,False,True,True
control_pool/cwe_22_safe_naive_replace_avatar.js,CWE-022,False,36,2,cwe_22_safe_naive_replace_avatar.js,False,False,True,True
control_pool/cwe_22_safe_zip_slip_theme_import.js,CWE-022,False,45,3,cwe_22_safe_zip_slip_theme_import.js,False,False,False,True
control_pool/cwe_22_safe_path_resolve_absolute_templates.ts,CWE-022,False,30,4,cwe_22_safe_path_resolve_absolute_templates.ts,False,False,False,True
control_pool/cwe_22_safe_second_order_manifest_export.js,CWE-022,False,60,5,cwe_22_safe_second_order_manifest_export.js,False,False,True,True
control_pool/cwe_1321_safe_recursive_merge_settings.js,CWE-1321,False,31,1,cwe_1321_safe_recursive_merge_settings.js,True,False,True,True
control_pool/cwe_1321_safe_query_parser_filters.js,CWE-1321,False,24,2,cwe_1321_safe_query_parser_filters.js,False,False,False,True
control_pool/cwe_1321_safe_gadget_chain_ejs_render.js,CWE-1321,False,22,3,cwe_1321_safe_gadget_chain_ejs_render.js,False,False,False,True
control_pool/cwe_1321_safe_auth_flag_override.ts,CWE-1321,False,34,4,cwe_1321_safe_auth_flag_override.ts,True,False,True,True
control_pool/cwe_1321_safe_websocket_path_assignment.js,CWE-1321,False,43,5,cwe_1321_safe_websocket_path_assignment.js,False,False,False,True
control_pool/cwe_1333_safe_nested_quantifier_validation.js,CWE-1333,False,24,1,cwe_1333_safe_nested_quantifier_validation.js,False,False,False,True
control_pool/cwe_1333_safe_hidden_match_forwarded_host.js,CWE-1333,False,19,2,cwe_1333_safe_hidden_match_forwarded_host.js,False,False,False,True
control_pool/cwe_1333_safe_zod_schema_pattern.ts,CWE-1333,False,27,3,cwe_1333_safe_zod_schema_pattern.ts,False,False,False,True
control_pool/cwe_1333_safe_dynamic_regexp_catalog_search.js,CWE-1333,False,24,4,cwe_1333_safe_dynamic_regexp_catalog_search.js,False,False,False,True
control_pool/cwe_1333_safe_async_log_pipeline.js,CWE-1333,False,21,5,cwe_1333_safe_async_log_pipeline.js,False,False,False,True
control_pool/cwe_327_safe_md5_literal_password.js,CWE-327,False,26,1,cwe_327_safe_md5_literal_password.js,False,False,True,True
control_pool/cwe_327_safe_sha1_module_constant.js,CWE-327,False,18,2,cwe_327_safe_sha1_module_constant.js,False,False,False,True
control_pool/cwe_327_safe_config_object_cipher.js,CWE-327,False,24,3,cwe_327_safe_config_object_cipher.js,False,False,False,True
control_pool/cwe_327_safe_legacy_flag_fallback.ts,CWE-327,False,27,4,cwe_327_safe_legacy_flag_fallback.ts,False,False,False,True
control_pool/cwe_327_safe_crypto_helper_factory.js,CWE-327,False,23,5,cwe_327_safe_crypto_helper_factory.js,False,False,False,True
control_pool/cwe_798_safe_inline_stripe_api_key.js,CWE-798,False,31,1,cwe_798_safe_inline_stripe_api_key.js,False,False,False,True
control_pool/cwe_798_safe_module_constant_github_token.js,CWE-798,False,12,2,cwe_798_safe_module_constant_github_token.js,False,False,True,True
control_pool/cwe_798_safe_nested_config_object.js,CWE-798,False,26,3,cwe_798_safe_nested_config_object.js,False,False,False,False
control_pool/cwe_798_safe_env_conditional_sandbox_key.ts,CWE-798,False,19,4,cwe_798_safe_env_conditional_sandbox_key.ts,False,False,False,True
control_pool/cwe_798_safe_credential_provider_fallback.js,CWE-798,False,36,5,cwe_798_safe_credential_provider_fallback.js,False,False,False,False
control_pool/cwe_20_safe_nan_pagination_ledger.js,CWE-020,False,29,1,cwe_20_safe_nan_pagination_ledger.js,False,False,False,True
control_pool/cwe_20_safe_mass_assignment_profile.js,CWE-020,False,34,2,cwe_20_safe_mass_assignment_profile.js,False,False,False,True
control_pool/cwe_20_safe_negative_quantity_checkout.js,CWE-020,False,34,3,cwe_20_safe_negative_quantity_checkout.js,False,False,False,True
control_pool/cwe_20_safe_ssrf_webhook_callback.ts,CWE-020,False,63,4,cwe_20_safe_ssrf_webhook_callback.ts,True,False,True,True
control_pool/cwe_20_safe_nosql_type_confusion_login.js,CWE-020,False,35,5,cwe_20_safe_nosql_type_confusion_login.js,False,True,False,True
