id,cwe,class,package,vulnerable_version,fixed_version,version_gap,fix_commit,sink_file,sink_line,entry_dir,rank
hangersteak_0.2.2,CWE-022,Przejscie przez katalogi,hangersteak,0.2.2,0.2.5,patch,https://github.com/eldoy/hangersteak/commit/9e853cced065c5a98f242c7ac75438d035f63532,lib/hangersteak.js,61,path-traversal\hangersteak_0.2.2,4
public_0.1.2,CWE-022,Przejscie przez katalogi,public,0.1.2,0.1.3,patch,https://github.com/tnantoka/public/commit/eae8ad8017b260f8667ded5e12801bd72b877af2,bin/public,78,path-traversal\public_0.1.2,5
@vivaxy-here_3.1.0,CWE-022,Przejscie przez katalogi,@vivaxy/here,3.1.0,3.2.2,minor,https://github.com/vivaxy/here/commit/298dbab41344dfb7f95f66b1fa7b5cfb436bd4a2,lib/read-file.js,11,path-traversal\@vivaxy-here_3.1.0,6
CVE-2017-16029,CWE-022,Przejscie przez katalogi,hostr,2.0.0,2.3.6,minor,https://github.com/henrytseng/hostr/commit/789a00047459fd80b6f0a9701a1378a47fb73ba8,lib/routes/static.js,56,path-traversal\hostr_2.0.0,7
CVE-2018-3714,CWE-022,Przejscie przez katalogi,node-srv,2.0.0,2.1.1,minor,https://github.com/nim579/node-srv/commit/15be996c0520ac6e4dee0cf0808fc7e72effd2a2,lib/server.js,185,path-traversal\node-srv_2.0.0,8
CVE-2018-3733,CWE-022,Przejscie przez katalogi,crud-file-server,0.7.0,0.9.0,minor,https://github.com/omphalos/crud-file-server/commit/4fc3b404f718abb789f4ce4272c39c7a138c7a82,crud-file-server.js,170,path-traversal\crud-file-server_0.7.0,9
CVE-2019-5444,CWE-022,Przejscie przez katalogi,serve-here.js,1.1.0,1.2.0,minor,https://github.com/ChristoPy/serve-here.js/commit/cefb51d03290b6a88dd13143ab2de31b8cf57c39,source/server.js,27,path-traversal\serve-here.js_1.1.0,10
angular-http-server_1.0.0,CWE-022,Przejscie przez katalogi,angular-http-server,1.0.0,1.4.4,minor,https://github.com/simonh1000/angular-http-server/commit/8bafc9577161469f5dea01e0b98ea9c525d063e9,angular-http-server.js,16,path-traversal\angular-http-server_1.0.0,11
CVE-2018-16472,CWE-1321,Zanieczyszczenie prototypu,cached-path-relative,1.0.1,1.0.2,patch,https://github.com/ashaffer/cached-path-relative/commit/a43cffec84ed0e9eceecb43b534b6937a8028fc0,lib/index.js,39,prototype-pollution\cached-path-relative_1.0.1,1
CVE-2018-16487,CWE-1321,Zanieczyszczenie prototypu,lodash,4.17.9,4.17.11,patch,https://github.com/lodash/lodash/commit/90e6199a161b6445b01454517b40ef65ebecd2ad,lodash.js,2573,prototype-pollution\lodash_4.17.9,2
CVE-2018-3719,CWE-1321,Zanieczyszczenie prototypu,mixin-deep,1.3.0,1.3.1,patch,https://github.com/jonschlinkert/mixin-deep/commit/578b0bc5e74e14de9ef4975f504dc698796bdf9c,index.js,30,prototype-pollution\mixin-deep_1.3.0,3
CVE-2018-3723,CWE-1321,Zanieczyszczenie prototypu,defaults-deep,0.2.0,0.2.4,patch,https://github.com/jonschlinkert/defaults-deep/commit/c873f341327ad885ff4d0f23b3d3bca31b0343e5,index.js,20,prototype-pollution\defaults-deep_0.2.0,4
CVE-2018-3728,CWE-1321,Zanieczyszczenie prototypu,hoek,5.0.0,5.0.3,patch,https://github.com/hapijs/hoek/commit/32ed5c9413321fbc37da5ca81a7cbab693786dee,lib/index.js,137,prototype-pollution\hoek_5.0.0,5
CVE-2018-3750,CWE-1321,Zanieczyszczenie prototypu,deep-extend,0.5.0,0.5.1,patch,https://github.com/unclechu/node-deep-extend/commit/433ee51ed606f4e1867ece57b6ff5a47bebb492f,lib/deep-extend.js,117,prototype-pollution\deep-extend_0.5.0,6
CVE-2018-3752,CWE-1321,Zanieczyszczenie prototypu,merge-options,1.0.0,1.0.1,patch,https://github.com/schnittstabil/merge-options/commit/d4a93bc2890455e0931ac0779667023e6cb101d4,index.js,73,prototype-pollution\merge-options_1.0.0,7
CVE-2019-10744,CWE-1321,Zanieczyszczenie prototypu,lodash,4.17.10,4.17.12,patch,https://github.com/sailshq/lodash/pull/1/commits/c3fd203b3be87a8177f7f00824033c95f981f984,lodash.js,2573,prototype-pollution\lodash_4.17.10,8
CVE-2019-10745,CWE-1321,Zanieczyszczenie prototypu,assign-deep,1.0.0,1.0.1,patch,https://github.com/jonschlinkert/assign-deep/commit/90bf1c551d05940898168d04066bbf15060f50cc,index.js,22,prototype-pollution\assign-deep_1.0.0,9
CVE-2019-10746,CWE-1321,Zanieczyszczenie prototypu,mixin-deep,2.0.0,2.0.1,patch,https://github.com/jonschlinkert/mixin-deep/commit/8f464c8ce9761a8c9c2b3457eaeee9d404fa7af9,index.js,21,prototype-pollution\mixin-deep_2.0.0,10
CVE-2019-10793,CWE-1321,Zanieczyszczenie prototypu,dot-object,2.1.2,2.1.3,patch,https://github.com/rhalff/dot-object/commit/f76cff5fe6d01d30ce110d8f454db2e5bd28a7de,index.js,415,prototype-pollution\dot-object_2.1.2,11
CVE-2019-10795,CWE-1321,Zanieczyszczenie prototypu,undefsafe,2.0.2,2.0.3,patch,https://github.com/remy/undefsafe/commit/f272681b3a50e2c4cbb6a8533795e1453382c822,lib/undefsafe.js,106,prototype-pollution\undefsafe_2.0.2,12
CVE-2019-10808,CWE-1321,Zanieczyszczenie prototypu,utilitify,1.0.2,1.0.3,patch,https://github.com/xcritical-software/utilitify/commit/88d6e27009823338bf319ffb768fe6b08e8ad2d1,utils/utils/mergeDeep.ts,17,prototype-pollution\utilitify_1.0.2,13
CVE-2020-15256,CWE-1321,Zanieczyszczenie prototypu,object-path-set,1.0.0,1.0.1,patch,https://github.com/skratchdot/object-path-set/commit/55f06d75abf5885f9cba3b7760acb38d7d7d06c0,index.js,19,prototype-pollution\object-path-set_1.0.0,14
CVE-2020-15256,CWE-1321,Zanieczyszczenie prototypu,object-path,0.11.4,0.11.5,patch,https://github.com/skratchdot/object-path-set/commit/55f06d75abf5885f9cba3b7760acb38d7d7d06c0,index.js,19,prototype-pollution\object-path_0.11.0,15
CVE-2020-24939,CWE-1321,Zanieczyszczenie prototypu,supermixer,1.0.3,1.0.5,patch,https://github.com/stampit-org/supermixer/commit/94dcc6fc45e0fed96187cb52aaffadf76dbbc0a3,dist/mixer.js,86,prototype-pollution\supermixer_1.0.3,16
CVE-2020-28267,CWE-1321,Zanieczyszczenie prototypu,@strikeentco/set,1.0.0,1.0.1,patch,https://github.com/strikeentco/set/commit/102cc6b2e1d1e0c928ced87e75df759d5541ff60,set/main.js,11,prototype-pollution\strikeentco-set_1.0.0,17
CVE-2020-28271,CWE-1321,Zanieczyszczenie prototypu,deephas,1.0.5,1.0.7,patch,https://github.com/sharpred/deepHas/commit/2fe011713a6178c50f7deb6f039a8e5435981e20,deepHas.js,65,prototype-pollution\deephas_1.0.5,18
CVE-2020-28283,CWE-1321,Zanieczyszczenie prototypu,libnested,1.5.0,1.5.1,patch,https://github.com/dominictarr/libnested/commit/9619863a319ed1e5c19ddcbdbe3312f9cef72760,index.js,27,prototype-pollution\libnested_1.5.0,19
CVE-2020-28495,CWE-1321,Zanieczyszczenie prototypu,total.js,3.4.6,3.4.7,patch,https://github.com/totaljs/framework/commit/b3f901561d66ab799a4a99279893b94cad7ae4ff,utils.js,6624,prototype-pollution\total.js_3.4.6,20
CVE-2020-7600,CWE-1321,Zanieczyszczenie prototypu,querymen,2.1.3,2.1.4,patch,https://github.com/diegohaz/querymen/commit/1987fefcb3b7508253a29502a008d5063a873cef,dist/index.js,46,prototype-pollution\querymen_2.1.3,21
CVE-2020-7639,CWE-1321,Zanieczyszczenie prototypu,@eivifj/dot,1.0.2,1.0.3,patch,https://github.com/eivindfjeldstad/dot/commit/774e4b0c97ca35d2ae40df2cd14428d37dd07a0b,dot/index.js,22,prototype-pollution\eivifj-dot_1.0.2,22
CVE-2020-7704,CWE-1321,Zanieczyszczenie prototypu,linux-cmdline,1.0.0,1.0.1,patch,https://github.com/piranna/linux-cmdline/commit/53c61a88bc47eb25d71832205056beaab95cf677,index.js,48,prototype-pollution\linux-cmdline_1.0.0,23
CVE-2020-7706,CWE-1321,Zanieczyszczenie prototypu,connie,0.1.0,0.1.1,patch,https://github.com/mattinsler/connie-lang/commit/ef376d404c712dd28309ba07f28a8f87f24a015a,lib/connie-lang.js,43,prototype-pollution\connie_0.1.0,24
CVE-2020-7707,CWE-1321,Zanieczyszczenie prototypu,property-expr,2.0.2,2.0.3,patch,https://github.com/jquense/expr/commit/df846910915d59f711ce63c1f817815bceab5ff7,index.js,55,prototype-pollution\property-expr_2.0.2,25
CVE-2020-7722,CWE-1321,Zanieczyszczenie prototypu,nodee-utils,1.2.2,1.2.3,patch,https://github.com/nodee-apps/utils/commit/52460d936c52f03c9907bc99ac5e890970cef83c,lib/object.js,210,prototype-pollution\nodee-utils_1.2.2,26
CVE-2020-7751,CWE-1321,Zanieczyszczenie prototypu,pathval,1.1.0,1.1.1,patch,https://github.com/chaijs/pathval/commit/7859e0e1ce4c2c67de897edce097ed31f80661d0,index.js,158,prototype-pollution\pathval_1.1.0,27
CVE-2020-7765,CWE-1321,Zanieczyszczenie prototypu,@firebase/util,0.3.3,0.3.4,patch,https://github.com/firebase/firebase-js-sdk/commit/9cf727fcc3d049551b16ae0698ac33dc2fe45ada,util/src/deepCopy.ts,68,prototype-pollution\firebase-util_0.3.3-canary.c47ba31d0,28
CVE-2021-23370,CWE-1321,Zanieczyszczenie prototypu,swiper,6.5.0,6.5.1,patch,https://github.com/nolimits4web/swiper/commit/9dad2739b7474f383474773d5ab898a0c29ac178,cjs/utils/utils.js,110,prototype-pollution\swiper_6.5.0,29
CVE-2021-23433,CWE-1321,Zanieczyszczenie prototypu,algoliasearch-helper,3.6.0,3.6.2,patch,https://github.com/algolia/algoliasearch-helper-js/commit/4ff542b70b92a6b81cce8b9255700b0bc0817edd,src/functions/merge.js,38,prototype-pollution\algoliasearch-helper_3.6.0,30
CVE-2021-23434,CWE-1321,Zanieczyszczenie prototypu,object-path,0.11.4,0.11.6,patch,https://github.com/mariocasciaro/object-path/commit/7bdf4abefd102d16c163d633e8994ef154cab9eb,index.js,110,prototype-pollution\object-path_0.11.4,31
CVE-2021-23444,CWE-1321,Zanieczyszczenie prototypu,jointjs,3.4.0,3.4.2,patch,https://github.com/clientIO/joint/commit/e5bf89efef6d5ea572d66870ffd86560de7830a8,dist/joint.min.js,8,prototype-pollution\jointjs_3.4.0,32
CVE-2021-25913,CWE-1321,Zanieczyszczenie prototypu,set-or-get,1.2.10,1.2.11,patch,https://github.com/IonicaBizau/set-or-get.js/commit/82ede5cccb2e8d13e4f62599203a4389f6d8e936,build/utils.js,391,prototype-pollution\set-or-get_1.2.10,33
CVE-2021-25914,CWE-1321,Zanieczyszczenie prototypu,object-collider,1.0.3,1.0.4,patch,https://github.com/FireBlinkLTD/object-collider/commit/321f75a7f8e7b3393e5b7dd6dd9ab26ede5906e5,src/utils/CollideUtil.ts,83,prototype-pollution\object-collider_1.0.3,34
CVE-2021-25916,CWE-1321,Zanieczyszczenie prototypu,patchmerge,1.0.0,1.0.2,patch,https://github.com/pjshumphreys/patchmerge/commit/5b383c537eae7a00ebd26d3f7211dac99ddecb12,index.js,93,prototype-pollution\patchmerge_1.0.0,35
CVE-2021-25916,CWE-1321,Zanieczyszczenie prototypu,patchmerge,1.0.1,1.0.2,patch,https://github.com/pjshumphreys/patchmerge/commit/5b383c537eae7a00ebd26d3f7211dac99ddecb12,index.js,93,prototype-pollution\patchmerge_1.0.1,36
CVE-2021-25927,CWE-1321,Zanieczyszczenie prototypu,safe-flat,2.0.0,2.0.2,patch,https://github.com/jessie-codes/safe-flat/commit/4b9b7db976bba8c968354f4315f5f9c219b7cbf3,src/index.js,48,prototype-pollution\safe-flat_2.0.0,37
CVE-2021-25941,CWE-1321,Zanieczyszczenie prototypu,deep-override,1.0.0,1.0.2,patch,https://github.com/ASaiAnudeep/deep-override/commit/2aced17651fb684959a6e04b1465a8329b3d5268,src/index.js,53,prototype-pollution\deep-override_1.0.0,38
CVE-2021-26707,CWE-1321,Zanieczyszczenie prototypu,merge-deep,3.0.0,3.0.3,patch,https://github.com/jonschlinkert/merge-deep/commit/e370968581413a2e5ffdbbf7c2f5094e0e0b3861,index.js,45,prototype-pollution\merge-deep_3.0.0,39
CVE-2021-3645,CWE-1321,Zanieczyszczenie prototypu,@viking04/merge,1.0.0,1.0.2,patch,https://github.com/viking04/merge/commit/baba40332080b38b33840d2614df6d4142dedaf6,merge/index.js,9,prototype-pollution\viking04-merge_1.0.0,40
CVE-2021-41097,CWE-1321,Zanieczyszczenie prototypu,aurelia-path,1.1.0,1.1.7,patch,https://github.com/aurelia/path/releases/tag/1.1.7,dist/commonjs/aurelia-path.js,163,prototype-pollution\aurelia-path_1.1.7,41
extend-merge_1.0.5,CWE-1321,Zanieczyszczenie prototypu,extend-merge,1.0.5,1.0.6,patch,https://github.com/crysalead-js/extend-merge/commit/6c8dc4e4b5983fa3e85544716f8e347dea2ba3b0,base-extend.js,41,prototype-pollution\extend-merge_1.0.5,42
mquery_3.2.1,CWE-1321,Zanieczyszczenie prototypu,mquery,3.2.1,3.2.5,patch,https://github.com/aheckmann/mquery/commit/158f059e058579d2d08c2f1380689f5f69336778,lib/utils.js,137,prototype-pollution\mquery_3.2.1,43
nestie_1.0.0,CWE-1321,Zanieczyszczenie prototypu,nestie,1.0.0,1.0.2,patch,https://github.com/lukeed/nestie/commit/c571c77928ecd7f256a935c7c3860f33dac4653f,dist/index.js,29,prototype-pollution\nestie_1.0.0,44
plain-object-merge_1.0.1,CWE-1321,Zanieczyszczenie prototypu,plain-object-merge,1.0.1,1.0.2,patch,https://github.com/fabiospampinato/plain-object-merge/commit/e2b59efa2216957815643c48797e2e2eae8ca2b2,dist/index.js,18,prototype-pollution\plain-object-merge_1.0.1,45
prototyped.js_2.0.0,CWE-1321,Zanieczyszczenie prototypu,prototyped.js,2.0.0,2.0.1,patch,https://github.com/ardalanamini/prototyped.js/commit/3ab56e78250d3d5b44ac03938d3d04591b206730,lib/index.js,66,prototype-pollution\prototyped.js_2.0.0,46
shvl_2.0.1,CWE-1321,Zanieczyszczenie prototypu,shvl,2.0.1,2.0.3,patch,https://github.com/robinvdvleuten/shvl/commit/4ed0edfa70f7778556f7b7e9ef1ee5d6d002fce2,index.js,10,prototype-pollution\shvl_2.0.1,47
ts-dot-prop_1.4.0,CWE-1321,Zanieczyszczenie prototypu,ts-dot-prop,1.4.0,1.4.1,patch,https://github.com/justinlettau/ts-dot-prop/commit/816b887a669ab959c3c2f85c6563d33928f00f14#diff-f41e9d04a45c83f3b6f6e630f10117feR183,src/index.ts,72,prototype-pollution\ts-dot-prop_1.4.0,48
 CVE-2021-25953,CWE-1321,Zanieczyszczenie prototypu,putil-merge,3.0.0,3.7.0,minor,https://github.com/panates/putil-merge/commit/a8f5087faaa034cc2dc2e8070c13014ad6a34043,lib/merge.js,72,prototype-pollution\putil-merge_3.0.0,49
CVE-2019-10750,CWE-1321,Zanieczyszczenie prototypu,deeply,3.0.0,3.1.0,minor,https://github.com/alexindigo/deeply/commit/6eccb2f03ec8d3eefc6805053c4cc2a36aab1505,lib/reduce_object.js,19,prototype-pollution\deeply_3.0.0,50
CVE-2019-10792,CWE-1321,Zanieczyszczenie prototypu,bodymen,1.0.0,1.1.1,minor,https://github.com/diegohaz/bodymen/commit/5d52e8cf360410ee697afd90937e6042c3a8653b,dist/index.js,44,prototype-pollution\bodymen_1.0.0,51
CVE-2020-28272,CWE-1321,Zanieczyszczenie prototypu,keyget,2.2.0,2.3.0,minor,https://github.com/rumkin/keyget/commit/17d15b6c75036eb429075a8cfeccfc18094dd2e2,index.js,111,prototype-pollution\keyget_2.2.0,52
CVE-2020-28274,CWE-1321,Zanieczyszczenie prototypu,deepref,1.1.1,1.2.1,minor,https://github.com/isaymatato/deepref/commit/24935e6a1060cb09c641d3075982f0b44cfca4c2,index.js,29,prototype-pollution\deepref_1.1.1,53
CVE-2020-28461,CWE-1321,Zanieczyszczenie prototypu,js-ini,1.2.0,1.3.0,minor,https://github.com/Sdju/js-ini/commit/fa17efb7e3a7c9464508a254838d4c231784931e,src/parse.ts,68,prototype-pollution\js-ini_1.2.0,54
CVE-2020-28471,CWE-1321,Zanieczyszczenie prototypu,properties-reader,2.0.0,2.2.0,minor,https://github.com/steveukx/properties/commit/0877cc871db9865f58dd9389ce99e61be05380a5,src/properties-reader.js,200,prototype-pollution\properties-reader_2.0.0,55
CVE-2020-7638,CWE-1321,Zanieczyszczenie prototypu,confinit,0.3.0,0.4.0,minor,https://github.com/davideicardi/confinit/commit/a34e06ca5c1c8b047ef112ef188b2fe30d2a1eab,index.ts,112,prototype-pollution\confinit_0.3.0,56
CVE-2020-7720,CWE-1321,Zanieczyszczenie prototypu,node-forge,0.9.0,0.10.0,minor,https://github.com/digitalbazaar/forge/commit/51228083550dde97701ac8e06c629a5184117562,lib/util.js,2536,prototype-pollution\node-forge_0.9.0,57
CVE-2020-7743,CWE-1321,Zanieczyszczenie prototypu,mathjs,7.4.0,7.5.1,minor,https://github.com/josdejong/mathjs/commit/ecb80514e80bce4e6ec7e71db8ff79954f07c57e,lib/utils/object.js,131,prototype-pollution\mathjs_7.4.0,58
CVE-2020-7748,CWE-1321,Zanieczyszczenie prototypu,@tsed/core,5.62.3,5.65.7,minor,https://github.com/TypedProject/tsed/commit/1395773ddac35926cf058fc6da9fb8e82266761b,core/src/utils/deepExtends.ts,36,prototype-pollution\tsed-core_5.62.3,59
CVE-2020-7772,CWE-1321,Zanieczyszczenie prototypu,doc-path,2.0.0,2.3.0,minor,https://github.com/mrodrig/doc-path/commit/3e2bb168cf303bffcd7fae5f8d05e5300c1541c7,src/path.js,54,prototype-pollution\doc-path_2.0.0,60
CVE-2021-23438,CWE-1321,Zanieczyszczenie prototypu,mpath,0.4.1,0.8.4,minor,https://github.com/aheckmann/mpath/commit/89402d2880d4ea3518480a8c9847c541f2d824fc,lib/index.js,269,prototype-pollution\mpath_0.4.1,61
